Ranking;Razão Social;Faturamento (R$);% Participação;% Acumulado;Classe;Cidade;UF;CNPJ;Telefone;E-mail;Vendedor
1;MEGABRAS INDUSTRIA ELETRONICA LTDA;1005292,559;0,044177086;0,044177086;A;São Paulo;SP;49272362000120;1156418111;"compras@megabras.com.br;robson@agtdisplays.com.br;sac@agtdisplays.com.br;NFE1@MEGABRAS.COM.BR";ROBSON BARBIERI
2;IBRAMED IND.BRASILEIRA DE EQUIP.MEDICOS EIRELI;921145,9855;0,040479307;0,084656393;A;Amparo;SP;00133418000177;1938179633;nfe@ibramed.com.br;SERGIO PAULO RODRIGUES 13915244899
3;ALFATEST INDUSTRIA E COMERCIO DE PRODUTOS ELETRONICOS S A;792016,4707;0,034804774;0,119461166;A;São Paulo;SP;53536991000198;1120654739;"ricardo.andrade@alfatest.com.br;thiago@agtdisplays.com.br";THIAGO GALVÃO ALMEIDA
4;TELEMATICA SISTEMAS INTELIGENTES LTDA;641283,5742;0,028180891;0,272369461;A;São Paulo;SP;44772937000584;1139336275;" compras@telematica.com.br;thiago@agtdisplays.com.br;sac@agtdisplays.com.br";THIAGO GALVÃO ALMEIDA
5;CADSERVICE PRODUTOS ELETRONICOS LTDA;604537,6635;0,02656611;0,298935571;A;Campinas;SP;65877300000107;1937168656;"compras@cadservice.com.br;sac@agtdisplays.com.br;thiago@agtdisplays.com.br";THIAGO GALVÃO ALMEIDA
6;SMAK TECNOLOGIA E AUTOMACAO LTDA;541210,8616;0,023783245;0,346950252;A;OSASCO;SP;04794016000174;1136994004;"compras@smak.com.br;robson@agtdisplays.com.br;sac@agtdisplays.com.br";ROBSON BARBIERI
7;P.L.E. PRODUTOS ELETROELETRONICOS INDUSTRIA E COMERCIO LTDA;494028,4492;0,021709837;0,368660089;A;Campinas;SP;17966412000183;1933261688;"priscila@grupople.com.br;robson@agtdisplays.com.br;sac@agtdisplays.com.br";ROBSON BARBIERI
8;EQUITRONIC EQUIPAMENTOS ELETRONICOS LTDA;440450,8652;0,019355396;0,388015485;A;Campinas;SP;52529542000150;1132270466;"fernando@equitronic.com.br;nfe@equitronic.com.br;thiago@agtdisplays.com.br;sac@atdisplays.com.br";THIAGO GALVÃO ALMEIDA
9;AAT INDUSTRIA E COMERCIO DE PRODUTOS ELETRONICOS EIRELI;352486,7159;0,015489855;0,456615485;A;São Paulo;SP;08312887000165;1122720179;"compras02@aataudio.com.br;robson@agtdisplays.com.br;sac@agtdisplays.com.br;nfe.fornecedores@aataudio.com.br";ROBSON BARBIERI
10;TRIUNTEC INDUSTRIA DE BALANCAS ELETRONICAS EIRELI;314158,6994;0,013805549;0,484633009;A;São Paulo;SP;35073833000167;1120922670;"engenharia@triunfobalancas.com.br;robson@agtdisplays.com.br;sac@agtdisplays.com.br";ROBSON BARBIERI
11;CM COMANDOS LINEARES LTDA;229716,3577;0,010094772;0,529089977;A;São Paulo;SP;52898194000198;1150965050;"xmlrecebimentos@cmcomandos.com.br;sac@agtdisplays.com.br;thiago@agtdisplays.com.br";THIAGO GALVÃO ALMEIDA
12;LASERMAX PRODUTOS E SERVICOS LTDA;225961,5713;0,00992977;0,539019747;A;Barueri;SP;44254141000106;1141633803;" fiscal@lasermax.com.br ;robson@agtdisplays.com.br;sac@agtdisplays.com.br";ROBSON BARBIERI
13;DIGICROM ANALITICA LTDA;205101,5596;0,009013087;0,566877901;A;São Paulo;SP;60160546000131;1156332209;"nfe.digicrom@digimed.ind.br ;robson@agtdisplays.com.br;sac@agtdisplays.com.br";ROBSON BARBIERI
14;SWEDA INFORMATICA LTDA;202969,65;0,008919401;0,575797302;A;SAO PAULO;SP;53485215000106;55745644;"fiscal.sp@sweda.com.br; compras.sp@sweda.com.br; adriano@sweda.com.br; thiago@agtdisplays.com.br";THIAGO GALVÃO ALMEIDA
15;SWEDA INFORMATICA LTDA;202969,65;0,008919401;0,575797302;A;SAO PAULO;SP;53485215000297;21065618;"compras.sp@sweda.com.br; marcelo@agtdisplays.com.br; sac@agtdisplays.com.br";Mario Bedani Gomes
16;DMC IMPORTACAO E EXPORTACAO DE EQUIPAMENTOS LTDA.;193253,8043;0,008492443;0,584289745;A;São Carlos;SP;02827605000186;1621072323;pagamentos@dmcgruoup.com.br;THIAGO GALVÃO ALMEIDA
17;VK DRILLER EQUIPAMENTOS ELETRICOS LTDA;180195,6719;0,00791861;0,616795442;A;Carapicuíba;SP;68996560000181;1121099000;"comprasvk@driller.com.br;thiago@agtdisplays.com.br";THIAGO GALVÃO ALMEIDA
18;SISVOO SISTEMAS ELETRONICOS LTDA;169854,7195;0,007464182;0,63180779;A;Itajubá;MG;17650334000103;3536231811;alberto@sisvoo.com.br;ROBSON BARBIERI
19;TAGUS-TEC SERVICOS TECNOLOGICOS LTDA;163382,531;0,007179765;0,646249595;A;SAO PAULO;SP;00000000000000;;;
20;XPS ELETRONICA LTDA;151701,1208;0,006666431;0,667089372;A;São Paulo;SP;65948648000130;1122427873;"cesar@xps.com.br;sac@agtdisplays.com.br;thiago@agtdisplays.com.br";THIAGO GALVÃO ALMEIDA
21;KTK IND. IMP. EXP. COM. DE EQUIP. HOSPITALARES LTDA;129528,645;0,005692072;0,710137732;A;São Paulo;SP;61489381000109;1129485900;"jbxavier@ktk.ind.br;thiago@agtdisplays.com.br;asborges@ktk.ind.br;rramos@ktk.ind.br;";THIAGO GALVÃO ALMEIDA
22;KUROKAWA INDUSTRIA ELETRONICA LTDA;128219,0352;0,005634522;0,715772254;A;Saltinho;SP;41253126000155;1930520135;rogerio.turchetto@kurokawacontrols.com;THIAGO GALVÃO ALMEIDA
23;REGMED INDUSTRIA TECNICA DE PRECISAO LTDA;125216,06;0,005502558;0,721274812;A;Osasco;SP;61498861000136;1136015700;"compras@regmed.com.br;robson@agtdisplays.com.br;sac@agtdisplays.com.br";ROBSON BARBIERI
24;NTC INDUSTRIA DE PRODUTOS ELETRONICOS;124508,331;0,005471457;0,72674627;A;Campinas;SP;45613029000187;1933250609;"cristina.smaniotto@ntcomp.com.br;robson@agtdisplays.com.br;sac@agtdisplays.com.br";ROBSON BARBIERI
